gene	average
SPRED2	6.7114835
NR2F6	6.8884907
INSIG1	7.9420247
RHEB	8.91516
UFM1	8.023143
BLCAP	8.038179
PAFAH1B1	8.114842
OXA1L	8.062163
DERA	7.5738373
NCOA3	7.732718
SPEN	7.818821
NPRL2	7.169338
CD44	8.779685
NFIL3	7.4173107
UBQLN2	8.067215
KDM5B	7.344637
SIRT3	6.8267436
PLA2G4A	5.5950847
TMEM97	7.580711
CHP1	8.61507
DDX42	7.8945136
FHL2	6.798988
EZH2	6.743003
ATP6V0B	8.283363
FZD7	6.1411195
MTHFD2	8.149041
ABL1	7.1276603
PDLIM1	8.253178
PPOX	6.663113
MAPK13	6.6025186
CSRP1	7.868436
MIF	8.9320545
XBP1	8.11607
TLR4	6.0500293
DNAJB6	7.184076
JADE2	7.291158
GNAI1	6.184666
DFFB	5.8427143
FAT1	6.6477914
H2AZ2	8.586806
ACD	6.790581
SYNE2	7.2792735
RAE1	7.9758677
CEBPZ	7.6095138
PNP	7.3925934
SCYL3	6.68251
ENOPH1	7.861922
POLR2I	7.8411646
UBE2L6	7.8588414
IGHMBP2	6.7153096
GPATCH8	7.2981873
PCCB	7.2843285
STIMATE	6.123256
MAPKAPK2	7.6021338
RNPS1	8.511001
PNKP	6.6376534
TMEM50A	8.56473
RPL39L	5.7976255
TIMM9	7.1942215
ICAM3	7.512827
IGF2BP2	7.020946
KLHDC2	8.066028
HMGA2	5.793106
SNX13	7.0884256
NPDC1	6.466895
LYRM1	7.6783996
FAH	6.558659
DNAJB1	7.976066
PSME1	8.728737
IGF2R	7.7706594
TRIM13	7.3041716
POLR1C	7.067616
TXNDC9	7.8762407
WDR7	6.669605
NOS3	4.6299796
CCNH	7.659308
TUBB6	7.4198985
ACAT2	7.2130594
FPGS	6.545169
GTF2A2	8.0456705
TIMM22	6.650375
ECD	6.928159
PAFAH1B3	6.859761
RAB27A	7.639695
ZNF318	6.5351353
USP14	8.326854
SMC1A	8.087566
TGFB3	5.971885
SACM1L	7.929701
NFKBIB	6.4982657
AARS1	7.7715225
PRKAG2	6.7566447
CCND1	6.8511586
SGCB	6.992284
TLK2	7.21808
SNCA	7.090901
HS2ST1	7.0152993
TENT4A	7.533778
SYK	6.939609
RALA	8.3177
HOXA5	5.5833592
COASY	7.377557
KTN1	8.654753
PWP1	8.08669
CTSL	7.5229177
RAB21	7.72311
MAPK9	7.3848734
WASHC5	7.1490498
CAT	8.611345
KIF2C	6.535822
RAP1GAP	6.249141
SSBP2	7.1077843
MAST2	6.796646
NSDHL	6.6951575
SNX7	6.350559
RXYLT1	7.2337503
CAST	8.489404
SMNDC1	8.095439
PHKB	7.312766
ZNF589	6.3261228
MKNK1	7.394392
TP53BP2	7.0854635
CD58	7.5715127
LGMN	7.044552
SMARCA4	7.9992967
TGFBR2	7.959666
KLHL21	6.727352
CREB1	7.6530523
AURKB	5.9814496
ITGAE	7.9739647
PIK3CA	6.8742704
NUP133	7.419428
TRAPPC3	7.6958647
IL13RA1	7.521313
PXMP2	6.749751
DSG2	6.6297264
CYB561	7.2869086
ACAA1	7.7608366
SDHB	7.7003675
MSH6	7.854783
CTTN	7.5764103
DECR1	8.014148
B4GAT1	6.7866683
CDK2	6.88847
BZW2	8.401266
CTSD	7.0587287
HK1	7.985107
BAG3	7.315169
FBXO21	7.6418514
TPM1	8.314852
DUSP14	6.7218685
CDC45	5.661221
NR3C1	8.261788
EDEM1	7.336249
HSD17B10	7.950041
CASC3	7.6288733
ADI1	8.49592
CBLB	7.178967
RFC5	7.5692644
CDC42	8.812249
TOPBP1	7.402412
PSME2	8.702041
NCAPD2	6.5847316
CASP3	7.0540705
GTF2E2	7.1513004
TCERG1	7.907011
CASK	7.2560163
CANT1	7.5514045
HMOX1	6.8105526
SLC35B1	7.5826
RHOA	9.580844
TBP	6.909611
SMARCC1	7.8846316
SLC35F2	6.5691624
PLSCR3	7.7309895
S100A13	7.461063
CCNB2	6.9771957
CEBPD	7.8886724
PDHX	7.2792907
GNAI2	7.5262814
DPH2	6.512803
ATG3	8.32368
BMP4	5.217371
DAG1	7.584624
GFOD1	6.718438
CSK	7.684468
CERK	7.1958857
TOMM70	8.036282
CDK4	7.9044123
CRTAP	8.320756
NRIP1	7.6170344
MCUR1	7.598115
RBKS	6.3428054
